categoryNameEn,categoryNameTH,cirrculumName,minCredit,Year
Core Courses,วิชาแกน,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566,เกียรตินิยม-ฝึกงาน-2566",14,66
Major Courses,วิชาเฉพาะด้าน,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566,เกียรตินิยม-ฝึกงาน-2566",39,66
Science Foundation,วิชาพื้นฐานวิทยาศาสตร์,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566,เกียรตินิยม-ฝึกงาน-2566",12,66
General Education IN,วิชาศึกษาทั่วไป-สหกิจ,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566,เกียรตินิยม-ฝึกงาน-2566",3,66
General Education HU,วิชาศึกษาทั่วไป-มนุษย์,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566,เกียรตินิยม-ฝึกงาน-2566",3,66
General Education SO,วิชาศึกษาทั่วไป-สังคม,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566,เกียรตินิยม-ฝึกงาน-2566",3,66
General Education SC,วิชาศึกษาทั่วไป-วิทย์,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566,เกียรตินิยม-ฝึกงาน-2566",3,66
Language Courses,กลุ่มวิชาภาษา,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566,เกียรตินิยม-ฝึกงาน-2566",12,66
General Education Special,วิชาศึกษาทั่วไปกลุ่มพิเศษ,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566,เกียรตินิยม-ฝึกงาน-2566",6,66
Core Elective Courses,วิชาบังคับเลือก,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",3,66
Elective Courses(CS),วิชาเลือก,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566",24,66
Field Experience,วิชาประสบการณ์ภาคสนาม,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566,เกียรตินิยม-ฝึกงาน-2566",8,66
Free Electives,วิชาเสรี,"เอกเดี่ยว-ฝึกงาน-2566,เอกเดี่ยว-สหกิจ-2566,เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",6,66
Minor Courses,กลุ่มวิชาโท,"เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",12,66
Elective Courses(CS),วิชาเลือก,"เอกโท-ฝึกงาน-2566,เอกโท-สหกิจ-2566",9,66
Core Elective Courses,วิชาบังคับเลือก,เกียรตินิยม-ฝึกงาน-2566,13,66
Core Elective Courses (Research),วิชาบังคับเลือก-(หมวดวิจัย),เกียรตินิยม-ฝึกงาน-2566,3,66
Elective Courses(CS),วิชาเลือก,เกียรตินิยม-ฝึกงาน-2566,15,66
Major Courses,วิชาแกน,เอกเดี่ยว-2561,136,61
